,is_installed,is_renting,num_ebikes_available,num_docks_disabled,num_docks_available,num_bikes_disabled,is_returning,eightd_has_available_keys,legacy_id,last_reported,num_bikes_available,station_id,last_update,num_scooters_available,num_scooters_unavailable
0,0,0,0,0,0,0,0,False,1815967807827104584,86400,0,1815967807827104584,2023-08-06 01:15:07.661245,,
1,0,0,0,0,0,0,0,False,1828967979464708718,86400,0,1828967979464708718,2023-08-06 01:15:07.661245,,
2,0,0,0,0,0,0,0,False,1828968883163894358,86400,0,1828968883163894358,2023-08-06 01:15:07.661245,,
3,0,0,0,0,0,0,0,False,1834145589124844432,86400,0,1834145589124844432,2023-08-06 01:15:07.661245,,
4,0,0,0,0,0,0,0,False,1835246937517543544,86400,0,1835246937517543544,2023-08-06 01:15:07.661245,,
5,0,0,0,0,0,0,0,False,1838071008881986168,86400,0,1838071008881986168,2023-08-06 01:15:07.661245,,
6,0,0,0,0,0,0,0,False,1835246658344669972,86400,0,1835246658344669972,2023-08-06 01:15:07.661245,,
7,0,0,0,0,0,0,0,False,4738,86400,0,73f36547-e5a9-4039-bca7-a2ccdb78371c,2023-08-06 01:15:07.661245,,
8,0,0,0,0,0,0,0,False,1840540852548303628,86400,0,1840540852548303628,2023-08-06 01:15:07.661245,,
9,0,0,0,0,0,0,0,False,5050,86400,0,2c3ae1e9-00f4-480c-b095-4a3112db3594,2023-08-06 01:15:07.661245,,
10,1,1,0,0,3,0,1,False,3368,1691284389,26,66de2199-0aca-11e7-82f6-3863bb44ef7c,2023-08-06 01:15:07.661245,0.0,0.0
11,1,1,4,0,12,1,1,False,4395,1691284389,9,0bd9bd58-42e6-4680-9d19-83943372221f,2023-08-06 01:15:07.661245,0.0,0.0
12,1,1,3,0,20,6,1,False,4645,1691284389,10,b9720921-8170-43ea-a5ae-b61b9161eb49,2023-08-06 01:15:07.661245,0.0,0.0
13,1,1,1,0,1,0,1,False,5048,1691284388,20,2c8b263e-952c-4941-a671-ef0ebb062632,2023-08-06 01:15:07.661245,0.0,0.0
14,0,0,0,0,3,0,0,False,476,1684444557,0,66dc3e89-0aca-11e7-82f6-3863bb44ef7c,2023-08-06 01:15:07.661245,,
15,0,0,0,0,0,0,0,False,4862,1690812347,0,528ed1e0-75aa-45be-8afe-c3f1c950782f,2023-08-06 01:15:07.661245,,
16,1,1,4,0,40,4,1,False,4699,1691284392,25,645e4365-653f-48ce-bc15-5fcc287be56f,2023-08-06 01:15:07.661245,0.0,0.0
17,1,1,1,0,6,2,1,False,406,1691284391,8,66dbf288-0aca-11e7-82f6-3863bb44ef7c,2023-08-06 01:15:07.661245,0.0,0.0
18,1,1,3,0,12,2,1,False,4094,1691284394,6,38af3d1a-9916-46cf-b22e-86fc8648bf30,2023-08-06 01:15:07.661245,0.0,0.0
19,1,1,0,0,15,2,1,False,4084,1691284397,5,545a32d3-b74c-4dc2-b82c-a6d185dd4666,2023-08-06 01:15:07.661245,0.0,0.0
20,1,1,1,0,24,0,1,False,3517,1691284397,11,6cd10426-b4e9-40e1-9b35-61f609190ac0,2023-08-06 01:15:07.661245,0.0,0.0
21,1,1,2,0,25,2,1,False,3537,1691284397,2,c3189056-8eda-4278-891f-e8e15c2d759a,2023-08-06 01:15:07.661245,0.0,0.0
22,1,1,0,0,1,1,1,False,1828965172312150882,1691284390,20,1828965172312150882,2023-08-06 01:15:07.661245,0.0,0.0
23,1,1,0,0,10,2,1,False,4451,1691284395,9,8d650b03-920d-4d44-a48f-8d9a1a0ba264,2023-08-06 01:15:07.661245,0.0,0.0
24,1,1,2,0,9,2,1,False,5037,1691284398,14,a2cf5872-bd4c-4311-832e-d62fd779ecc3,2023-08-06 01:15:07.661245,0.0,0.0
25,0,0,0,0,0,0,0,False,3345,1690804933,0,66de13dc-0aca-11e7-82f6-3863bb44ef7c,2023-08-06 01:15:07.661245,,
26,1,1,1,0,16,5,1,False,3293,1691284405,3,66dde4ef-0aca-11e7-82f6-3863bb44ef7c,2023-08-06 01:15:07.661245,0.0,0.0
27,1,1,1,0,12,5,1,False,4142,1691284403,1,1f088432-0460-421e-a1d9-36890fa5396d,2023-08-06 01:15:07.661245,0.0,0.0
28,1,1,1,0,28,3,1,False,4689,1691284401,37,7dda8844-60ba-4449-b05c-54c1d14ab5fb,2023-08-06 01:15:07.661245,0.0,0.0
29,1,1,0,0,9,1,1,False,4905,1691284402,11,7779e057-b33e-46a7-8a1e-8c28bcd9a558,2023-08-06 01:15:07.661245,0.0,0.0
30,1,1,0,0,29,5,1,False,511,1691284402,9,66dc7ba2-0aca-11e7-82f6-3863bb44ef7c,2023-08-06 01:15:07.661245,0.0,0.0
