,num_docks_disabled,is_installed,last_reported,legacy_id,num_ebikes_available,num_docks_available,station_id,is_renting,eightd_has_available_keys,num_bikes_available,is_returning,num_bikes_disabled,last_update,num_scooters_available,num_scooters_unavailable
0,0,0,86400,1815967807827104584,0,0,1815967807827104584,0,False,0,0,0,2023-08-17 01:00:45.489043,,
1,0,0,86400,1834145589124844432,0,0,1834145589124844432,0,False,0,0,0,2023-08-17 01:00:45.489043,,
2,0,0,86400,1835246937517543544,0,0,1835246937517543544,0,False,0,0,0,2023-08-17 01:00:45.489043,,
3,0,0,86400,1838071008881986168,0,0,1838071008881986168,0,False,0,0,0,2023-08-17 01:00:45.489043,,
4,0,0,86400,1835246658344669972,0,0,1835246658344669972,0,False,0,0,0,2023-08-17 01:00:45.489043,,
5,0,0,86400,1840540852548303628,0,0,1840540852548303628,0,False,0,0,0,2023-08-17 01:00:45.489043,,
6,0,0,86400,5050,0,0,2c3ae1e9-00f4-480c-b095-4a3112db3594,0,False,0,0,0,2023-08-17 01:00:45.489043,,
7,0,0,86400,1828967979464708718,0,0,1828967979464708718,0,False,0,0,0,2023-08-17 01:00:45.489043,,
8,0,0,86400,4748,0,3,c00ef46d-fcde-48e2-afbd-0fb595fe3fa7,0,False,0,0,0,2023-08-17 01:00:45.489043,,
9,0,1,1692234054,3599,0,8,56b3ca32-104a-4920-a879-a97a820858c4,1,False,17,1,2,2023-08-17 01:00:45.489043,0.0,0.0
10,0,1,1692234328,3333,0,0,66de0cab-0aca-11e7-82f6-3863bb44ef7c,1,False,37,1,0,2023-08-17 01:00:45.489043,0.0,0.0
11,1,1,1692234327,4482,3,4,33840944-aa92-4d91-9de8-d29e5cd0b2d9,1,False,22,1,5,2023-08-17 01:00:45.489043,0.0,0.0
12,1,1,1692234329,3830,0,19,61f2ffd4-159a-42b3-a4d9-3fdfc3349074,1,False,1,1,0,2023-08-17 01:00:45.489043,0.0,0.0
13,0,1,1692234329,4200,3,15,2a66ed0a-5e6d-4893-a1d1-876bb2bac4be,1,False,9,1,2,2023-08-17 01:00:45.489043,0.0,0.0
14,0,1,1692234329,3776,1,8,d11b9869-8964-4b79-aafc-4b60ad1b44c4,1,False,12,1,3,2023-08-17 01:00:45.489043,0.0,0.0
15,3,1,1692234331,4012,3,12,3134c2d4-b090-4eb8-ab44-6f9622098f72,1,False,5,1,1,2023-08-17 01:00:45.489043,0.0,0.0
16,0,1,1692234331,3522,4,8,0630217a-3913-47d9-9540-cf85688296a5,1,False,11,1,0,2023-08-17 01:00:45.489043,0.0,0.0
17,0,1,1692234332,317,9,11,66db76a1-0aca-11e7-82f6-3863bb44ef7c,1,False,82,1,2,2023-08-17 01:00:45.489043,0.0,0.0
18,0,1,1692234332,4287,4,9,f62526d4-9c6a-4c76-be76-c64b5be669d2,1,False,11,1,1,2023-08-17 01:00:45.489043,0.0,0.0
19,2,1,1692234332,3110,5,4,66dd1d9c-0aca-11e7-82f6-3863bb44ef7c,1,False,19,1,1,2023-08-17 01:00:45.489043,0.0,0.0
20,0,1,1692234331,406,1,2,66dbf288-0aca-11e7-82f6-3863bb44ef7c,1,False,9,1,4,2023-08-17 01:00:45.489043,0.0,0.0
21,0,1,1692234331,4367,8,0,7aa86431-bbc5-4d9c-8198-9630c9d32a22,1,False,19,1,1,2023-08-17 01:00:45.489043,0.0,0.0
22,0,1,1692234331,3060,2,5,66dcc8b3-0aca-11e7-82f6-3863bb44ef7c,1,False,9,1,3,2023-08-17 01:00:45.489043,0.0,0.0
23,0,1,1692234334,4832,6,1,fbaffdbd-dab5-4127-9bd5-36bf58093ea8,1,False,19,1,4,2023-08-17 01:00:45.489043,0.0,0.0
24,0,1,1692234333,1814906692908349788,4,1,1814906692908349788,1,False,21,1,0,2023-08-17 01:00:45.489043,0.0,0.0
25,0,0,1690812347,4862,0,0,528ed1e0-75aa-45be-8afe-c3f1c950782f,0,False,0,0,0,2023-08-17 01:00:45.489043,,
26,0,1,1692234333,3373,1,16,66de25bd-0aca-11e7-82f6-3863bb44ef7c,1,False,60,1,2,2023-08-17 01:00:45.489043,0.0,0.0
27,0,0,1684444557,476,0,3,66dc3e89-0aca-11e7-82f6-3863bb44ef7c,0,False,0,0,0,2023-08-17 01:00:45.489043,,
28,0,1,1692234341,3109,1,0,66dd1d0f-0aca-11e7-82f6-3863bb44ef7c,1,False,30,1,0,2023-08-17 01:00:45.489043,0.0,0.0
29,1,1,1692234341,4867,0,5,69717638-5c4a-47a7-bccb-3b42c81eb09f,1,False,13,1,0,2023-08-17 01:00:45.489043,0.0,0.0
30,0,1,1692234338,4306,3,14,b79c8433-9dd1-4d68-9156-7f2c2162bafe,1,False,13,1,1,2023-08-17 01:00:45.489043,0.0,0.0
31,0,1,1692234336,82,0,0,66db277a-0aca-11e7-82f6-3863bb44ef7c,1,False,23,1,2,2023-08-17 01:00:45.489043,0.0,0.0
