,num_docks_available,is_renting,is_returning,legacy_id,num_ebikes_available,station_id,num_docks_disabled,num_bikes_disabled,last_reported,eightd_has_available_keys,is_installed,num_bikes_available,last_update,num_scooters_unavailable,num_scooters_available
0,0,0,0,1815967807827104584,0,1815967807827104584,0,0,86400,False,0,0,2023-08-22 01:00:22.295629,,
1,0,0,0,1838071008881986168,0,1838071008881986168,0,0,86400,False,0,0,2023-08-22 01:00:22.295629,,
2,0,0,0,1840540852548303628,0,1840540852548303628,0,0,86400,False,0,0,2023-08-22 01:00:22.295629,,
3,0,0,0,5050,0,2c3ae1e9-00f4-480c-b095-4a3112db3594,0,0,86400,False,0,0,2023-08-22 01:00:22.295629,,
4,0,0,0,1828967979464708718,0,1828967979464708718,0,0,86400,False,0,0,2023-08-22 01:00:22.295629,,
5,3,0,0,4748,0,c00ef46d-fcde-48e2-afbd-0fb595fe3fa7,0,0,86400,False,0,0,2023-08-22 01:00:22.295629,,
6,0,0,0,3092,0,66dd01c5-0aca-11e7-82f6-3863bb44ef7c,0,0,86400,False,0,0,2023-08-22 01:00:22.295629,,
7,0,0,0,1838070843306263244,0,1838070843306263244,0,0,86400,False,0,0,2023-08-22 01:00:22.295629,,
8,18,1,1,5031,0,eb07bdfc-3a6f-40eb-96d2-0b92ac371619,0,1,1692666448,False,1,2,2023-08-22 01:00:22.295629,0.0,0.0
9,29,1,1,3507,0,66880044-5411-4143-af39-eaa0a0fd0528,0,7,1692666448,False,1,0,2023-08-22 01:00:22.295629,0.0,0.0
10,13,1,1,3901,3,837b7db3-55c6-4595-a497-834972631752,1,0,1692666452,False,1,3,2023-08-22 01:00:22.295629,0.0,0.0
11,17,1,1,3325,2,66de0861-0aca-11e7-82f6-3863bb44ef7c,1,10,1692666452,False,1,3,2023-08-22 01:00:22.295629,0.0,0.0
12,15,1,1,3043,1,66dcbac5-0aca-11e7-82f6-3863bb44ef7c,0,2,1692666450,False,1,2,2023-08-22 01:00:22.295629,0.0,0.0
13,17,1,1,3503,1,bacfe3c2-7946-45ed-91f9-f5b91791de75,0,1,1692666451,False,1,12,2023-08-22 01:00:22.295629,0.0,0.0
14,2,1,1,1834145589124844432,6,1834145589124844432,0,0,1692666454,False,1,17,2023-08-22 01:00:22.295629,0.0,0.0
15,18,1,1,4766,1,f523c481-ba41-44ba-96e1-0c431fbea558,0,0,1692666454,False,1,6,2023-08-22 01:00:22.295629,0.0,0.0
16,6,1,1,4865,0,7a1ad7c0-4958-4354-91a1-11bf13348abd,0,2,1692666457,False,1,11,2023-08-22 01:00:22.295629,0.0,0.0
17,53,1,1,4736,2,96e72113-3681-4d19-88bb-032e76720093,0,1,1692666452,False,1,3,2023-08-22 01:00:22.295629,0.0,0.0
18,26,1,1,260,0,66db447a-0aca-11e7-82f6-3863bb44ef7c,0,2,1692666462,False,1,21,2023-08-22 01:00:22.295629,0.0,0.0
19,26,1,1,3100,3,66dd17a5-0aca-11e7-82f6-3863bb44ef7c,0,0,1692666462,False,1,23,2023-08-22 01:00:22.295629,0.0,0.0
20,6,1,1,82,0,66db277a-0aca-11e7-82f6-3863bb44ef7c,0,5,1692666462,False,1,14,2023-08-22 01:00:22.295629,0.0,0.0
21,17,1,1,3830,0,61f2ffd4-159a-42b3-a4d9-3fdfc3349074,1,0,1692666455,False,1,1,2023-08-22 01:00:22.295629,0.0,0.0
22,20,1,1,3842,3,a3d72b5b-9587-4f33-9722-c01e20a9b358,2,2,1692666458,False,1,5,2023-08-22 01:00:22.295629,0.0,0.0
23,10,1,1,4250,3,c602146e-d69d-43b6-9e8f-054c4df5377e,0,1,1692666459,False,1,8,2023-08-22 01:00:22.295629,0.0,0.0
24,11,1,1,3148,0,66dd45c7-0aca-11e7-82f6-3863bb44ef7c,1,3,1692666459,False,1,12,2023-08-22 01:00:22.295629,0.0,0.0
25,4,1,1,4142,4,1f088432-0460-421e-a1d9-36890fa5396d,0,0,1692666459,False,1,14,2023-08-22 01:00:22.295629,0.0,0.0
26,15,1,1,4144,2,90b141b9-c39f-4a26-a32d-08c7d1474d52,0,2,1692666459,False,1,3,2023-08-22 01:00:22.295629,0.0,0.0
27,27,1,1,3517,0,6cd10426-b4e9-40e1-9b35-61f609190ac0,0,1,1692666460,False,1,7,2023-08-22 01:00:22.295629,0.0,0.0
28,9,1,1,5063,0,cd2d9dab-7708-4685-a56f-9412c738de7e,0,2,1692666460,False,1,12,2023-08-22 01:00:22.295629,0.0,0.0
29,1,1,1,1828965172312150882,0,1828965172312150882,0,1,1692666460,False,1,20,2023-08-22 01:00:22.295629,0.0,0.0
30,25,1,1,339,1,66db9c2e-0aca-11e7-82f6-3863bb44ef7c,1,0,1692666459,False,1,15,2023-08-22 01:00:22.295629,0.0,0.0
31,0,0,0,1835246937517543544,0,1835246937517543544,0,0,1692642052,False,0,0,2023-08-22 01:00:22.295629,,
32,21,1,1,393,8,66dbec40-0aca-11e7-82f6-3863bb44ef7c,0,1,1692666464,False,1,33,2023-08-22 01:00:22.295629,0.0,0.0
33,63,1,1,3178,0,66dd5407-0aca-11e7-82f6-3863bb44ef7c,0,5,1692666466,False,1,8,2023-08-22 01:00:22.295629,0.0,0.0
34,3,0,0,476,0,66dc3e89-0aca-11e7-82f6-3863bb44ef7c,0,0,1684444557,False,0,0,2023-08-22 01:00:22.295629,,
35,14,1,1,4515,2,023cf549-bd85-4f9a-abd8-70ba29d7e86b,0,1,1692666465,False,1,6,2023-08-22 01:00:22.295629,0.0,0.0
36,1,1,1,4281,1,549b5bc4-b949-4eeb-8ffb-2215e1e49892,0,6,1692666465,False,1,24,2023-08-22 01:00:22.295629,0.0,0.0
37,0,0,0,4862,0,528ed1e0-75aa-45be-8afe-c3f1c950782f,0,0,1690812347,False,0,0,2023-08-22 01:00:22.295629,,
38,1,1,1,3524,9,3e1bdcec-e762-4e83-b447-007f05923cce,0,0,1692666466,False,1,22,2023-08-22 01:00:22.295629,0.0,0.0
39,13,1,1,3361,0,66de1ea2-0aca-11e7-82f6-3863bb44ef7c,1,3,1692666464,False,1,5,2023-08-22 01:00:22.295629,0.0,0.0
40,48,1,1,465,0,66dc292c-0aca-11e7-82f6-3863bb44ef7c,0,7,1692666462,False,1,0,2023-08-22 01:00:22.295629,0.0,0.0
41,22,1,1,1817822909864556798,1,1817822909864556798,0,4,1692666462,False,1,1,2023-08-22 01:00:22.295629,0.0,0.0
42,16,1,1,3860,5,f401cd5f-cb41-41f8-a857-4a4dfe778f94,1,2,1692666463,False,1,7,2023-08-22 01:00:22.295629,0.0,0.0
43,15,1,1,4292,1,ca7ec509-cefc-4ac6-b729-08999d191051,0,2,1692666472,False,1,6,2023-08-22 01:00:22.295629,0.0,0.0
44,12,1,1,4576,1,f681f980-185d-45b9-8490-bb2606624dd4,0,0,1692666472,False,1,6,2023-08-22 01:00:22.295629,0.0,0.0
45,7,1,1,3496,0,0b613329-b8c8-4b8c-ad40-79952aa41157,0,3,1692666472,False,1,15,2023-08-22 01:00:22.295629,0.0,0.0
46,0,0,0,4820,0,7f4753d7-8d58-48bd-a881-de5bff08b27d,0,0,1690294244,False,0,0,2023-08-22 01:00:22.295629,,
47,17,1,1,3846,4,372c592e-09d8-400c-9595-2aa3510f39b0,0,0,1692666469,False,1,7,2023-08-22 01:00:22.295629,0.0,0.0
48,18,1,1,5005,0,cf1a96a7-f695-4ba2-bcf2-899552e21e47,1,0,1692666469,False,1,1,2023-08-22 01:00:22.295629,0.0,0.0
49,1,1,1,1814901062206225038,1,1814901062206225038,0,2,1692666469,False,1,18,2023-08-22 01:00:22.295629,0.0,0.0
50,39,1,1,440,2,66dc17df-0aca-11e7-82f6-3863bb44ef7c,0,1,1692666468,False,1,2,2023-08-22 01:00:22.295629,0.0,0.0
51,4,1,1,3053,1,66dcc0b2-0aca-11e7-82f6-3863bb44ef7c,0,0,1692666468,False,1,19,2023-08-22 01:00:22.295629,0.0,0.0
52,11,1,1,4054,3,59af018a-2ee9-489a-b445-bb6fba9c1119,0,0,1692666470,False,1,8,2023-08-22 01:00:22.295629,0.0,0.0
53,17,1,1,4493,0,f9ed9a6b-097e-48b9-a9d1-79d084dcd2d9,0,1,1692666473,False,1,1,2023-08-22 01:00:22.295629,0.0,0.0
54,14,1,1,4626,2,47da6ab2-c841-4f2d-97ef-dd8d441c96b1,0,3,1692666471,False,1,3,2023-08-22 01:00:22.295629,0.0,0.0
